ID,Language_ID,Phonemic,Phonetic,Orthographic,Variants,Form_Comment,Source,Procedural_Comment,Procedural_Comment_Concept,Concept_ID
ache1_one1_1,ache1,/etakɾã/,[e.ta.'kɾã],,,(uno; solo),ache1{4},,,one1
ache1_one1_2,ache1,/etakrã/,,,,,ache1{1},,,one1
paraguayan_guarani1_one1_1,paraguayan_guarani1,,,<peteĩ>,,(uno),paraguayan_guarani1{Guasch1962:670},,,one1
kaiwa1_one1_1,kaiwa1,,[petẽˈʔĩ],,,,kaiwa1{1},,,one1
mbya_guarani1_one1_1,mbya_guarani1,,,<peteĩ>,,,mbya_guarani1{1},,,one1
chiripa1_one1_1,chiripa1,No value,No value,No value,,No value,chiripa1No value,,,one1
xeta1_one1_1,xeta1,,[mə̃'tẽj],,,,xeta1{1},,,one1
tapiete1_one1_1,tapiete1,,,<pente>,,,tapiete1{1},,,one1
tapiete1_one1_2,tapiete1,/pẽte/,[pente],,,,tapiete1{2},,,one1
eastern_bolivian_guarani1_one1_1,eastern_bolivian_guarani1,/mopẽti/,,,,,eastern_bolivian_guarani1{1},,,one1
guarayu1_one1_1,guarayu1,/ɲe'pẽĩ/,,,,,guarayu1{1},,,one1
guarayu1_one1_2,guarayu1,,,<ñepeĩ>,,"(eins, einer)",guarayu1{2},,,one1
siriono1_one1_1,siriono1,,[kómĩ],,,(uno),siriono1{2},,,one1
yuqui1_one1_1,yuqui1,,,<eyebe>,,,yuqui1{1: 278},,,one1
jora1_one1_1,jora1,,,<dél iv>,,,jora1{1: 87},,,one1
warazu1_one1_1,warazu1,,,<mupéðo>,,,warazu1{9},,,one1
omagua1_one1_1,omagua1,/wipi/,,,,,omagua1{1},,,one1
omagua2_one1_1,omagua2,,,<uyepe>,,(OOMG),omagua2{4},,,one1
cocama_cocamilla1_one1_1,cocama_cocamilla1,,,<wepe>,,,cocama_cocamilla1{2},,,one1
tupinamba1_one1_1,tupinamba1,,,<ojepé>,,,tupinamba1{1},,,one1
tupinamba1_one1_2,tupinamba1,,,<mojepé>,,,tupinamba1{1},,,one1
tapirape1_one1_1,tapirape1,,,<ãxepe>,~<maxepe>,,tapirape1{1},,,one1
tocantins_asurini1_one1_1,tocantins_asurini1,,,<osepé>,,,tocantins_asurini1{3},,,one1
parakana1_one1_1,parakana1,No value,No value,No value,,No value,parakana1No value,,,one1
canoeiro1_one1_1,canoeiro1,,,<mepenoan>,,,canoeiro1{1},,,one1
tembe1_one1_1,tembe1,,,<pité'i>,,,tembe1{1},,,one1
guajajara1_one1_1,guajajara1,,,<pitài>,,(um),guajajara1{1},,,one1
guajajara1_one1_2,guajajara1,,,<pitei>,,(one),guajajara1{2},,,one1
turiwara1_one1_1,turiwara1,,,<peteĩ>,,(um),turiwara1{1},,,one1
anambe1_one1_1,anambe1,/tipɛʔĩ/,,,,,anambe1{1},,,one1
arawete1_one1_1,arawete1,,,<tʃĩpẽ>,,,arawete1{1},,,one1
xingu_asurini1_one1_1,xingu_asurini1,,,<mudjepẽj>,,,xingu_asurini1{2},,,one1
xingu_asurini1_one1_2,xingu_asurini1,,,<moi epẽn>,,,xingu_asurini1{1},,,one1
kayabi1_one1_1,kayabi1,,,<ajepeì>,,,kayabi1{2},,,one1
apiaka1_one1_1,apiaka1,No value,No value,No value,,No value,apiaka1No value,,,one1
parintintin1_one1_1,parintintin1,,,<ojipeji>,,,parintintin1{1},,,one1
kamayura1_one1_1,kamayura1,,,<mojepete>,,,kamayura1{1},,,one1
wayampi1_one1_1,wayampi1,,,<pe'ĩ>,,,wayampi1{2},,,one1
wayampi1_one1_2,wayampi1,/pɛ̃ʔĩ/,,,,"(un, var. de pɛsu dans le parler du Haut-Oyapock uniquement)",wayampi1{1: 348},,,one1
teko1_one1_1,teko1,,,<bozepe>,~<mozepẽ>,,teko1{1},,,one1
urubu_kaapor1_one1_1,urubu_kaapor1,,,<peteĩ>,,,urubu_kaapor1{2},,,one1
urubu_kaapor1_one1_2,urubu_kaapor1,,,<peteĩ>,,,urubu_kaapor1{6: 196},,,one1
guaja1_one1_1,guaja1,,,<makamutuhũ>,,,guaja1{2},,,one1
aweti1_one1_1,aweti1,,,<momozotsu>,,(um),aweti1{8},,,one1
satere_mawe1_one1_1,satere_mawe1,,,<wentup>,,,satere_mawe1{2},,,one1
tocantins_asurini1_one2_1,tocantins_asurini1,,,<océpecowe>,,(uma vez),tocantins_asurini1{2},,,one2
parakana1_one2_1,parakana1,,,<hypy>,,(primeiro),parakana1{1},,,one2
wayampi1_one2_1,wayampi1,/pɛsu/,,,,"(un, var. dans le parler de Camopi de pɛ̃ʔĩ)",wayampi1{1:347},,,one2
ache1_two1_1,ache1,/bĩɾõ1/,[mĩ.'ɾõ1],,,(dos),ache1{4},,,two1
ache1_two1_2,ache1,/mirõ/,,,,,ache1{1},,,two1
paraguayan_guarani1_two1_1,paraguayan_guarani1,,,<mokõi>,,(dos),paraguayan_guarani1{Guasch1962:616},,,two1
kaiwa1_two1_1,kaiwa1,,[mõˈkõj̃],,,,kaiwa1{1},,,two1
mbya_guarani1_two1_1,mbya_guarani1,,,<mokoĩ>,,,mbya_guarani1{1},,,two1
chiripa1_two1_1,chiripa1,No value,No value,No value,,No value,chiripa1No value,,,two1
xeta1_two1_1,xeta1,,[mẽmɪ̃],,,,xeta1{1},,,two1
tapiete1_two1_1,tapiete1,,,<monokoi>,,,tapiete1{1},http://lingweb.eva.mpg.de/numeral/Tapiete.htm,,two1
tapiete1_two1_2,tapiete1,/mõkoi/,,,,,tapiete1{González},http://lingweb.eva.mpg.de/numeral/Tapiete.htm,,two1
eastern_bolivian_guarani1_two1_1,eastern_bolivian_guarani1,/mõkoi/,,,,,eastern_bolivian_guarani1{1},,,two1
guarayu1_two1_1,guarayu1,/ɲuβɨ̃'ɾĩõ/,,,,,guarayu1{1},,,two1
siriono1_two1_1,siriono1,,,<nyeremo>,,"(dos, tres)",siriono1{1},,,two1
yuqui1_two1_1,yuqui1,,,<yese>,,,yuqui1{1: 299},,,two1
jora1_two1_1,jora1,,,<atŝvtŝvtu?>,,(two),jora1{1: 87},,,two1
jora1_two1_2,jora1,,,<dečatu>,,"(zwei, drei)",jora1{2:153},,,two1
warazu1_two1_1,warazu1,,,<mókwei>,,,warazu1{9},,,two1
omagua1_two1_1,omagua1,/mukuika/,,,,,omagua1{1},,,two1
cocama_cocamilla1_two1_1,cocama_cocamilla1,,,<mukuika>,,,cocama_cocamilla1{1},,,two1
tupinamba1_two1_1,tupinamba1,,,<mocõi>,,,tupinamba1{1},,,two1
tapirape1_two1_1,tapirape1,,,<mokõj>,,,tapirape1{1},,,two1
tocantins_asurini1_two1_1,tocantins_asurini1,,,<mókos>,,,tocantins_asurini1{1},,,two1
tocantins_asurini1_two1_2,tocantins_asurini1,,,<mokój>,,,tocantins_asurini1{3},,,two1
parakana1_two1_1,parakana1,,,<mokoi>,,,parakana1{1},,,two1
canoeiro1_two1_1,canoeiro1,,,<mokõj>,,,canoeiro1{1},,,two1
tembe1_two1_1,tembe1,,,<mukuy>,,,tembe1{1},,,two1
guajajara1_two1_1,guajajara1,,,<mokoz>,,(dois),guajajara1{1},,,two1
turiwara1_two1_1,turiwara1,,,<mokõ'i>,,(dois),turiwara1{1},,,two1
anambe1_two1_1,anambe1,,,<mukũ1>,,,anambe1{1},,,two1
arawete1_two1_1,arawete1,,,<mukũj>,,,arawete1{1},,,two1
xingu_asurini1_two1_1,xingu_asurini1,,,<mukũj>,,,xingu_asurini1{2},,,two1
xingu_asurini1_two1_2,xingu_asurini1,,,<mokoiñẽ>,~<mokoi>,,xingu_asurini1{1},,,two1
kayabi1_two1_1,kayabi1,,,<mukũì>,,,kayabi1{2},,,two1
apiaka1_two1_1,apiaka1,No value,No value,No value,,No value,apiaka1No value,,,two1
parintintin1_two1_1,parintintin1,,,<mokonh>,,(dois),parintintin1{1},,,two1
parintintin1_two1_2,parintintin1,,,<-mokõj>,,(dois),parintintin1{1},,,two1
kamayura1_two1_1,kamayura1,,,<mokõj>,,,kamayura1{1},,,two1
wayampi1_two1_1,wayampi1,,,<monijũ>,,,wayampi1{2},keep mokoy,,two1
wayampi1_two1_2,wayampi1,/mɔkɔ̃y/,,,,(deux),wayampi1{1: 296},keep mokoy,,two1
teko1_two1_1,teko1,,,<mokoɲ>,,,teko1{1},,,two1
urubu_kaapor1_two1_1,urubu_kaapor1,,,<mɔkɔĩ>,,,urubu_kaapor1{2},,,two1
urubu_kaapor1_two1_2,urubu_kaapor1,,,<mokõi>,,,urubu_kaapor1{6: 125},,,two1
guaja1_two1_1,guaja1,,,<inuhũ>,,,guaja1{2},,,two1
aweti1_two1_1,aweti1,,,<mokoj̃>,,,aweti1{5},,,two1
satere_mawe1_two1_1,satere_mawe1,,,<ty:py>,,,satere_mawe1{2},,,two1
siriono1_two2_1,siriono1,,[n͡ʤeɾémo],,,(a pair of),siriono1{2},,,two2
tocantins_asurini1_two2_1,tocantins_asurini1,,,<mokoc>,,"(duas vezes, par)",tocantins_asurini1{2},,,two2
tembe1_two2_1,tembe1,,,<mukwi>,,(dois(quando em composição)),tembe1{1},,,two2
parintintin1_two2_1,parintintin1,,,<meme>,,"(ambos, dois)",parintintin1{1},,,two2
parintintin1_two2_2,parintintin1,,,<mokoi'ĩ>,,(mais ou menos dois),parintintin1{1},,,two2
wayampi1_two2_1,wayampi1,/mɔlɛyɔ̃/,,,,"(deux, uniquement pour le parler wayãpi du Kouc)",wayampi1{1: 296},,,two2
ache1_three1_1,ache1,/bɾewi pɨʧa/,[bɾe.'wi pɨ.'ʧa],,,(trés),ache1{4},,,three1
ache1_three1_2,ache1,/buǰa1/,,,,,ache1{1},,,three1
paraguayan_guarani1_three1_1,paraguayan_guarani1,,,<mbohapy>,,(tres),paraguayan_guarani1{Guasch1962:598},,,three1
kaiwa1_three1_1,kaiwa1,,[mbohaˈpɨ],,,,kaiwa1{1},,,three1
mbya_guarani1_three1_1,mbya_guarani1,,,<mboapy>,,,mbya_guarani1{1},,,three1
chiripa1_three1_1,chiripa1,No value,No value,No value,,No value,chiripa1No value,,,three1
xeta1_three1_1,xeta1,,[mɑɡ̊a'taj],,,,xeta1{1},,,three1
tapiete1_three1_1,tapiete1,,,<mbahapɨ>,,,tapiete1{1},,,three1
eastern_bolivian_guarani1_three1_1,eastern_bolivian_guarani1,/ᵐbapɨ/,,,,,eastern_bolivian_guarani1{1},,,three1
guarayu1_three1_1,guarayu1,/mbo'tsapɨ1/,,,,,guarayu1{1},,,three1
siriono1_three1_1,siriono1,,,<nyeremo>,,"(dos, tres)",siriono1{1},,,three1
siriono1_three1_2,siriono1,,[n͡ʤeɾemóno],,,(lit. after two),siriono1{2},,,three1
yuqui1_three1_1,yuqui1,,,<yesẽẽ>,,,yuqui1{1: 299},,,three1
jora1_three1_1,jora1,,,<dečatu>,,"(zwei, drei)",jora1{2:153},,,three1
warazu1_three1_1,warazu1,,,<mɨ́ru>,,,warazu1{9},,,three1
omagua1_three1_1,omagua1,/musap(ɨ)ɾɨka/,,,,,omagua1{1},,,three1
cocama_cocamilla1_three1_1,cocama_cocamilla1,,,<mutsapɨɾɨka>,,,cocama_cocamilla1{1},,,three1
tupinamba1_three1_1,tupinamba1,,,<mossapyr>,,,tupinamba1{1},,,three1
tupinamba1_three1_2,tupinamba1,,,<mossapyt>,,,tupinamba1{1},,,three1
tapirape1_three1_1,tapirape1,,,<maãpyr>,,,tapirape1{1},,,three1
tocantins_asurini1_three1_1,tocantins_asurini1,,,<na'íroshi>,,,tocantins_asurini1{1},,,three1
tocantins_asurini1_three1_2,tocantins_asurini1,,,<na iróihi>,,(three; not having a companion),tocantins_asurini1{3},,,three1
parakana1_three1_1,parakana1,No value,No value,No value,,No value,parakana1No value,,,three1
canoeiro1_three1_1,canoeiro1,,,<moapaʁɨn>,,,canoeiro1{1},,,three1
tembe1_three1_1,tembe1,,,<mukuy amo ma-irwi>,,,tembe1{1},,,three1
guajajara1_three1_1,guajajara1,,,<na'iruz>,,(três),guajajara1{1},,,three1
turiwara1_three1_1,turiwara1,,,<moapýry>,,(tres),turiwara1{1},,,three1
anambe1_three1_1,anambe1,,,<muapy'ĩ>,,,anambe1{1},,,three1
arawete1_three1_1,arawete1,,,<tʃĩpẽ majɨ̃>,,,arawete1{1},,,three1
xingu_asurini1_three1_1,xingu_asurini1,,,<iruma'ẽ>,,,xingu_asurini1{2},,,three1
xingu_asurini1_three1_2,xingu_asurini1,,,<iroma'e>,,,xingu_asurini1{1},,,three1
kayabi1_three1_1,kayabi1,,,<muapyt>,,,kayabi1{1},,,three1
apiaka1_three1_1,apiaka1,No value,No value,No value,,No value,apiaka1No value,,,three1
parintintin1_three1_1,parintintin1,,,<mbohapyr>,,(três ou mais),parintintin1{1},,,three1
kamayura1_three1_1,kamayura1,,,<mo'apyt>,,,kamayura1{1},,,three1
wayampi1_three1_1,wayampi1,,,<moapy>,,,wayampi1{2},keep maapi,,three1
wayampi1_three1_2,wayampi1,/maapɨ/,,,,(trois),wayampi1{1: 267},keep maapi,,three1
teko1_three1_1,teko1,,,<bapɨl>,,,teko1{1},,,three1
urubu_kaapor1_three1_1,urubu_kaapor1,,,<mahapɨɾ>,,,urubu_kaapor1{2},,,three1
urubu_kaapor1_three1_2,urubu_kaapor1,,,<mahapyr>,,,urubu_kaapor1{6: 123},,,three1
guaja1_three1_1,guaja1,No value,No value,No value,,No value,guaja1No value,,,three1
aweti1_three1_1,aweti1,,,<mojtarika>,,,aweti1{5},,,three1
satere_mawe1_three1_1,satere_mawe1,,,<mye'ym>,,,satere_mawe1{2},,,three1
tocantins_asurini1_three2_1,tocantins_asurini1,,,<naʔírochi>,,(três vezes),tocantins_asurini1{2},,,three2
parakana1_three2_1,parakana1,,,<rogatoetey'ym>,,(naõ é quatro),parakana1{1},,,three2
wayampi1_three2_1,wayampi1,/mɛmɔlɛyɔ̃/,,,,"(trois, Var. de maapɨ, uniquement dans le parler du Kouc)",wayampi1{1: 284},,,three2
ache1_four1_1,ache1,/gwɨɾa pɨʧã/,[gwɨ.'ɾa pɨ.'ʧa],,,(cuatro),ache1{4},,,four1
paraguayan_guarani1_four1_1,paraguayan_guarani1,,,<irundy>,,(cuatro),paraguayan_guarani1{Guasch1962:542},,,four1
kaiwa1_four1_1,kaiwa1,,[iɾũndɨ],,,,kaiwa1{1},,,four1
mbya_guarani1_four1_1,mbya_guarani1,,,<irundy>,,,mbya_guarani1{1},,,four1
chiripa1_four1_1,chiripa1,No value,No value,No value,,No value,chiripa1No value,,,four1
xeta1_four1_1,xeta1,,['mɔkãj mɔkãj],,,,xeta1{1},,,four1
tapiete1_four1_1,tapiete1,,,<urundɨ>,,,tapiete1{1},,,four1
eastern_bolivian_guarani1_four1_1,eastern_bolivian_guarani1,/iruⁿdɨ/,,,,,eastern_bolivian_guarani1{1},,,four1
guarayu1_four1_1,guarayu1,/iɾu'gãtu/,,,,,guarayu1{1},,,four1
guarayu1_four1_2,guarayu1,,,<irungatu>,,(vier),guarayu1{2},,,four1
siriono1_four1_1,siriono1,No value,No value,No value,,No value,siriono1No value,,,four1
yuqui1_four1_1,yuqui1,No value,No value,No value,,No value,yuqui1No value,,,four1
jora1_four1_1,jora1,No value,No value,No value,,No value,jora1No value,,,four1
warazu1_four1_1,warazu1,,,<o-ð-awotsó-ma>,~<o-ð-owotsóma>,,warazu1{9},,,four1
omagua1_four1_1,omagua1,/ɪɾuaka/,,,,,omagua1{1},,,four1
cocama_cocamilla1_four1_1,cocama_cocamilla1,,,<iɾuaka>,,,cocama_cocamilla1{1},,,four1
tupinamba1_four1_1,tupinamba1,,,<irundyc>,,,tupinamba1{1},,,four1
tupinamba1_four1_2,tupinamba1,,,<oje(i)rundyc>,,,tupinamba1{1},,,four1
tupinamba1_four1_3,tupinamba1,,,<ojoirundyc>,,,tupinamba1{1},,,four1
tupinamba1_four1_4,tupinamba1,,,<monherundyc>,,,tupinamba1{1},,,four1
tapirape1_four1_1,tapirape1,,,<xãirõ>,,,tapirape1{1},,,four1
tocantins_asurini1_four1_1,tocantins_asurini1,,,<iróngatóeté>,,(companion-good-really),tocantins_asurini1{3},,,four1
parakana1_four1_1,parakana1,No value,No value,No value,,No value,parakana1No value,,,four1
canoeiro1_four1_1,canoeiro1,No value,No value,No value,,No value,canoeiro1No value,,,four1
tembe1_four1_1,tembe1,,,<uzêy iru-irungato>,,,tembe1{1},uzêy? --KCB,,four1
guajajara1_four1_1,guajajara1,,,<zeirugatu>,,(quatro),guajajara1{1},,,four1
turiwara1_four1_1,turiwara1,No value,No value,No value,,No value,turiwara1No value,,,four1
anambe1_four1_1,anambe1,,,<je irũ mukũ>,,,anambe1{1},,,four1
arawete1_four1_1,arawete1,,,<mukũj mukũj>,,,arawete1{1},,,four1
xingu_asurini1_four1_1,xingu_asurini1,,,<udjeruík>,,,xingu_asurini1{2},Keep: <udjeruík>,,four1
xingu_asurini1_four1_2,xingu_asurini1,,,<nõiz̆a nõiz̆a>,,,xingu_asurini1{1},Keep: <udjeruík>,,four1
kayabi1_four1_1,kayabi1,,,<irũpãwẽ>,,,kayabi1{2},,,four1
apiaka1_four1_1,apiaka1,No value,No value,No value,,No value,apiaka1No value,,,four1
parintintin1_four1_1,parintintin1,No value,No value,No value,,No value,parintintin1No value,,,four1
kamayura1_four1_1,kamayura1,,,<mojo'irũ>,,,kamayura1{1},,,four1
wayampi1_four1_1,wayampi1,,,<irõte>,,,wayampi1{2},,,four1
wayampi1_four1_2,wayampi1,/ilũtɛ/,,,,,wayampi1{1},,,four1
teko1_four1_1,teko1,,,<momokonte>,,,teko1{1},,,four1
urubu_kaapor1_four1_1,urubu_kaapor1,,,<tumɛm>,,,urubu_kaapor1{1},,,four1
urubu_kaapor1_four1_2,urubu_kaapor1,,,<tumeme>,,,urubu_kaapor1{6: 139},,,four1
guaja1_four1_1,guaja1,No value,No value,No value,,No value,guaja1No value,,,four1
aweti1_four1_1,aweti1,,,<mokoj̃-mokoj̃-put>,,,aweti1{5},,,four1
satere_mawe1_four1_1,satere_mawe1,No value,No value,No value,,No value,satere_mawe1No value,,,four1
ache1_four2_1,ache1,/irõdɨ/,[i.ɾõ.'ndɨ],,,(la gente se mi subgrupo),ache1{4},,,four2
tocantins_asurini1_four2_1,tocantins_asurini1,,,<iroŋatoete>,,(quatro vezes),tocantins_asurini1{2},,,four2
ache1_five1_1,ache1,No value,No value,No value,,No value,ache1No value,,,five1
paraguayan_guarani1_five1_1,paraguayan_guarani1,,,<po>,,"(cinco, neol.)",paraguayan_guarani1{Guasch1962:113},,,five1
kaiwa1_five1_1,kaiwa1,,[teʔiowaa],,,,kaiwa1{1},Keep: [teʔiowaa],,five1
kaiwa1_five1_2,kaiwa1,,[teɲoˈʔa],,,,kaiwa1{1},Keep: [teʔiowaa],,five1
mbya_guarani1_five1_1,mbya_guarani1,,,<petei nhiruĩ>,,,mbya_guarani1{1},,,five1
chiripa1_five1_1,chiripa1,No value,No value,No value,,No value,chiripa1No value,,,five1
xeta1_five1_1,xeta1,No value,No value,No value,,No value,xeta1No value,,,five1
tapiete1_five1_1,tapiete1,,,<pandepo>,,(all your hand),tapiete1{1},,,five1
eastern_bolivian_guarani1_five1_1,eastern_bolivian_guarani1,/pa-ⁿde-po/,,,,,eastern_bolivian_guarani1{1},,,five1
guarayu1_five1_1,guarayu1,/poja'ndepo/,,,,,guarayu1{1},,,five1
siriono1_five1_1,siriono1,No value,No value,No value,,No value,siriono1No value,,,five1
yuqui1_five1_1,yuqui1,No value,No value,No value,,No value,yuqui1No value,,,five1
jora1_five1_1,jora1,No value,No value,No value,,No value,jora1No value,,,five1
warazu1_five1_1,warazu1,No value,No value,No value,,No value,warazu1No value,,,five1
omagua1_five1_1,omagua1,/pitʃka/,,,,,omagua1{1},,,five1
cocama_cocamilla1_five1_1,cocama_cocamilla1,,,<pitʃka>,,(KLL),cocama_cocamilla1{2},,,five1
cocama_cocamilla1_five1_2,cocama_cocamilla1,,,<piʃka>,,,cocama_cocamilla1{5},,,five1
tupinamba1_five1_1,tupinamba1,,,<ã mbó>,,,tupinamba1{1},,,five1
tupinamba1_five1_2,tupinamba1,,,<xe pó>,,,tupinamba1{1},,,five1
tapirape1_five1_1,tapirape1,,,<ygãniirõj̃>,,,tapirape1{2},,,five1
tocantins_asurini1_five1_1,tocantins_asurini1,No value,No value,No value,,No value,tocantins_asurini1No value,,,five1
parakana1_five1_1,parakana1,No value,No value,No value,,No value,parakana1No value,,,five1
canoeiro1_five1_1,canoeiro1,No value,No value,No value,,No value,canoeiro1No value,,,five1
guajajara1_five1_1,guajajara1,No value,No value,No value,,No value,guajajara1No value,,,five1
turiwara1_five1_1,turiwara1,No value,No value,No value,,No value,turiwara1No value,,,five1
anambe1_five1_1,anambe1,,,<jene po>,,,anambe1{1},,,five1
arawete1_five1_1,arawete1,No value,No value,No value,,No value,arawete1No value,,,five1
xingu_asurini1_five1_1,xingu_asurini1,,,<udjeruík kaim>,,,xingu_asurini1{2},,,five1
kayabi1_five1_1,kayabi1,No value,No value,No value,,No value,kayabi1No value,,,five1
apiaka1_five1_1,apiaka1,No value,No value,No value,,No value,apiaka1No value,,,five1
parintintin1_five1_1,parintintin1,No value,No value,No value,,No value,parintintin1No value,,,five1
kamayura1_five1_1,kamayura1,,,<jenepomomap>,,,kamayura1{1},,,five1
wayampi1_five1_1,wayampi1,,,<jaty>,,,wayampi1{2},,,five1
wayampi1_five1_2,wayampi1,/yanɛpɔpakatu/,,,,(cinq),wayampi1{1: 374},,,five1
teko1_five1_1,teko1,/nõdepoʔã/,,,,,teko1{11},,,five1
urubu_kaapor1_five1_1,urubu_kaapor1,,,<peteĩhar awa po pa>,,(cinco),urubu_kaapor1{6: 159},,,five1
guaja1_five1_1,guaja1,No value,No value,No value,,No value,guaja1No value,,,five1
aweti1_five1_1,aweti1,,,<momozotsu-kajpoupap>,,(cinco),aweti1{8},,,five1
satere_mawe1_five1_1,satere_mawe1,No value,No value,No value,,No value,satere_mawe1No value,,,five1
ache1_head1_1,ache1,/tõʔõ/,[tõ.'ʔõ],,,(cabeza humana),ache1{4},,,head1
ache1_head1_2,ache1,/tõʔõ/,,,,"(head, brain)",ache1{1},,,head1
paraguayan_guarani1_head1_1,paraguayan_guarani1,,,<akã>,,"(cabeza, juicio, talento, cumbre)",paraguayan_guarani1{Guasch1962:497},,,head1
kaiwa1_head1_1,kaiwa1,,,<akã>,,,kaiwa1{1},,,head1
mbya_guarani1_head1_1,mbya_guarani1,,,<akã>,,,mbya_guarani1{1},,,head1
chiripa1_head1_1,chiripa1,,[ã'kã],,,,chiripa1{2},,,head1
xeta1_head1_1,xeta1,,['ãka],,,,xeta1{1},,,head1
xeta1_head1_2,xeta1,/'aka/,,,~/'ãka/,,xeta1{1},,,head1
tapiete1_head1_1,tapiete1,,[aŋka],<anka>,,,tapiete1{1},,,head1
eastern_bolivian_guarani1_head1_1,eastern_bolivian_guarani1,/ãka/,,,,,eastern_bolivian_guarani1{1},,,head1
guarayu1_head1_1,guarayu1,/'ãkã/,,,,,guarayu1{1},,,head1
siriono1_head1_1,siriono1,,,<eãqui>,,,siriono1{1},,,head1
siriono1_head1_2,siriono1,,[e-ã́ki],,,,siriono1{2},,,head1
yuqui1_head1_1,yuqui1,,,<ãnkia>,,(cabeza),yuqui1{1:271},Keep: <ãnkia>,,head1
yuqui1_head1_2,yuqui1,,,<itõ1>,,(head),yuqui1{2},Keep: <ãnkia>,,head1
jora1_head1_1,jora1,,,<sentŝv>,,,jora1{1: 87},,,head1
jora1_head1_2,jora1,,,<santsv>,,(1SG),jora1{1: 87},,,head1
jora1_head1_3,jora1,,,<ačá>,,(Kopf),jora1{2:150},,,head1
warazu1_head1_1,warazu1,,,<-ápɨ(-ne)>,,,warazu1{9},,,head1
omagua1_head1_1,omagua1,/yakɨ/,,,,,omagua1{1},,,head1
omagua2_head1_1,omagua2,,,<yacae>,,(OOMG) (HEAD),omagua2{5},"what does this mean? +zjohagan@gmail.com
_Assigned to Zachary O'Hagan_
	-pagouritsa itsnoneofyourbusiness",,head1
cocama_cocamilla1_head1_1,cocama_cocamilla1,,,<yakɨ>,,(cabeza),cocama_cocamilla1{9:252},,,head1
tupinamba1_head1_1,tupinamba1,,,<acanga>,,(t) (cabeça),tupinamba1{2:21},,,head1
tapirape1_head1_1,tapirape1,,,<ãpin>,,(cabeça),tapirape1{1},keep: <ãpin> (cabeça),,head1
tapirape1_head1_2,tapirape1,,,<ãkyg1>,,"(cabeça, craneo)",tapirape1{2},keep: <ãpin> (cabeça),,head1
tocantins_asurini1_head1_1,tocantins_asurini1,,,<iákyŋa>,,,tocantins_asurini1{1},,,head1
tocantins_asurini1_head1_2,tocantins_asurini1,,,<akɨŋ>,,,tocantins_asurini1{2},,,head1
tocantins_asurini1_head1_3,tocantins_asurini1,,,<-akýng>,,(Ia) (cabeça),tocantins_asurini1{3:35},,,head1
tocantins_asurini1_head1_4,tocantins_asurini1,,,<-'á>,,(Ia) (cabeça),tocantins_asurini1{3:119},,,head1
parakana1_head1_1,parakana1,,,<i'apiner>,,(1. Cabeça. 2. Crânio),parakana1{1:102},,,head1
parakana1_head1_2,parakana1,,,<akyg>,,(cabeça),parakana1{1: 81},,,head1
canoeiro1_head1_1,canoeiro1,,,<akaŋ>,,,canoeiro1{1},,,head1
tembe1_head1_1,tembe1,,,<akãng>,,"(cabeça, crâneo)",tembe1{1:21},,,head1
guajajara1_head1_1,guajajara1,,,<iàkàg>,,(cabeça),guajajara1{1},,,head1
turiwara1_head1_1,turiwara1,,,<neakánga>,,(cabeça),turiwara1{1},,,head1
anambe1_head1_1,anambe1,/akỹ/,,,,,anambe1{1},,,head1
anambe1_head1_2,anambe1,,,<akỹwa>,,,anambe1{1},,,head1
arawete1_head1_1,arawete1,,,<atʃi1>,,(I),arawete1{1},,,head1
xingu_asurini1_head1_1,xingu_asurini1,,[a'kɨ̃ŋ],,,,xingu_asurini1{2},,,head1
kayabi1_head1_1,kayabi1,,,<-akag̃>,,,kayabi1{1},,,head1
apiaka1_head1_1,apiaka1,,[dea-'kaŋ],,,('tua cabeça'),apiaka1{1},,,head1
apiaka1_head1_2,apiaka1,/si- akáŋ/,,,,(minha cabeça),apiaka1{1},,,head1
apiaka1_head1_3,apiaka1,,[si- a'kaŋ],,,(minha cabeça),apiaka1{1},,,head1
parintintin1_head1_1,parintintin1,,,<-akag̃>,,,parintintin1{1},,,head1
kamayura1_head1_1,kamayura1,,,<akaŋ>,,,kamayura1{1},,,head1
wayampi1_head1_1,wayampi1,/akã/,,,~/ãkã/,"(1.tête 2. source d' une rivière 3. branche 4. crochet du fuseau 5. bulbille de namuʔa (Caladium sp., Araceae) 6. manche de couteau, de machète) (var. akã beaucoup moins commune que ãkã et qui semble vieillie. Un certain nombre de composés sont faits sur cette base) (NCP: the two variants appear as different entries in the dictionary, and the first one only has the main translation, head. There are two homophonous roots here, one meaning head and all the secondary meanings and the other meaning branch. It is unclear where the source meaning belongs, but it is more possible with the branch given the same polysemy in other TG languages)",wayampi1{1},,,head1
teko1_head1_1,teko1,,,<akaŋ>,,,teko1{1},,,head1
teko1_head1_2,teko1,,,<akã>,,,teko1{1},,,head1
teko1_head1_3,teko1,,,<akãng>,,,teko1{3},,,head1
urubu_kaapor1_head1_1,urubu_kaapor1,/aˈkaŋ/,[a̰'kaŋ],,,(cabeça),urubu_kaapor1{1:194},,,head1
urubu_kaapor1_head1_2,urubu_kaapor1,,,<iankã>,,(a cabeça dele),urubu_kaapor1{6: 44},,,head1
guaja1_head1_1,guaja1,,,<jakã>,,,guaja1{1},,,head1
guaja1_head1_2,guaja1,,,<jakỹ>,,,guaja1{2},,,head1
